customer_id,purchase_date,amount
CUST0550,2024-07-14,470.23
CUST0119,2024-08-19,97.5
CUST0986,2024-08-17,28.75
CUST0611,2024-05-22,179.39
CUST0806,2024-07-23,223.83
CUST0524,2024-11-01,198.75
CUST0591,2024-09-24,134.81
CUST0726,2024-05-21,10.83
CUST0948,2024-03-30,346.56
CUST0963,2024-01-22,106.55
CUST0442,2024-11-25,474.95
CUST0943,2024-07-14,315.35
CUST0680,2024-10-28,362.68
CUST0308,2024-04-15,161.55
CUST0419,2024-07-16,207.18
CUST0303,2024-03-22,72.37
CUST0431,2024-01-25,470.78
CUST0694,2024-10-02,311.6
CUST0309,2024-06-06,278.49
CUST0001,2024-07-28,150.59
CUST0441,2024-03-09,307.26
CUST0330,2024-05-06,226.48
CUST0692,2024-09-12,260.48
CUST0813,2024-10-05,332.84
CUST0291,2024-04-11,335.29
CUST0635,2024-07-12,55.76
CUST0975,2024-09-01,339.67
CUST0231,2024-09-20,82.2
CUST0048,2024-08-27,492.13
CUST0626,2024-11-23,233.15
CUST0908,2024-02-12,292.08
CUST0736,2024-01-09,198.15
CUST0410,2024-08-28,82.31
CUST0705,2024-12-28,447.4
CUST0882,2024-11-06,391.43
CUST0225,2024-10-01,404.01
CUST0713,2024-04-09,237.63
CUST0571,2024-08-25,459.56
CUST0125,2024-05-11,75.34
CUST0476,2024-01-24,270.25
CUST0573,2024-03-01,165.48
CUST0774,2024-05-18,310.2
CUST0737,2024-04-16,219.1
CUST0929,2024-03-25,228.5
CUST0163,2024-05-01,230.53
CUST0770,2024-08-26,421.53
CUST0284,2024-04-08,247.45
CUST0245,2024-08-12,225.54
CUST0731,2024-08-06,124.9
CUST0344,2024-07-20,447.58
CUST0083,2024-10-21,83.91
CUST0393,2024-01-10,84.87
CUST0220,2024-11-28,213.29
CUST0339,2024-03-28,238.3
CUST0064,2024-09-16,418.12
CUST0399,2024-03-06,473.57
CUST0021,2024-03-11,196.39
CUST0007,2024-07-03,156.32
CUST0400,2024-05-30,273.73
CUST0753,2024-03-26,401.94
CUST0920,2024-09-09,249.23
CUST0280,2024-05-21,247.96
CUST0399,2024-07-11,337.75
CUST0818,2024-06-06,364.85
CUST0861,2024-05-05,460.58
CUST0638,2024-04-01,23.21
CUST0404,2024-03-02,286.55
CUST0028,2024-11-18,324.95
CUST0139,2024-05-08,99.05
CUST0267,2024-06-19,170.4
CUST0466,2024-07-16,175.38
CUST0901,2024-06-19,146.35
CUST0975,2024-05-29,133.61
CUST0084,2024-05-04,19.5
CUST0553,2024-12-04,499.95
CUST0359,2024-09-07,328.57
CUST0800,2024-02-01,29.73
CUST0032,2024-08-26,107.69
CUST0021,2024-02-16,84.67
CUST0130,2024-05-02,338.03
CUST0578,2024-09-10,237.87
CUST0263,2024-06-25,92.22
CUST0622,2024-11-02,391.12
CUST0168,2024-07-24,62.97
CUST0027,2024-07-24,292.14
CUST0930,2024-06-21,204.36
CUST0733,2024-09-20,47.24
CUST0708,2024-02-13,129.0
CUST0714,2024-07-29,426.64
CUST0615,2024-10-30,400.15
CUST0580,2024-12-09,180.13
CUST0439,2024-01-27,191.58
CUST0519,2024-02-03,177.2
CUST0870,2024-05-29,412.94
CUST0109,2024-05-23,480.79
CUST0651,2024-05-09,356.58
CUST0446,2024-10-01,369.56
CUST0989,2024-02-01,142.34
CUST0828,2024-03-30,389.57
CUST0477,2024-05-21,414.61
CUST0607,2024-08-15,167.93
CUST0252,2024-11-16,146.67
CUST0462,2024-08-28,377.73
CUST0584,2024-02-22,337.41
CUST0345,2024-12-16,252.21
CUST0333,2024-09-28,248.9
CUST0364,2024-08-20,176.77
CUST0902,2024-02-29,353.58
CUST0283,2024-03-21,14.97
CUST0971,2024-09-24,51.95
CUST0738,2024-06-05,249.4
CUST0777,2024-08-29,348.4
CUST0662,2024-01-01,250.5
CUST0812,2024-12-22,55.6
CUST0227,2024-06-06,348.98
CUST0314,2024-01-26,294.96
CUST0485,2024-03-22,270.15
CUST0436,2024-03-24,172.09
CUST0720,2024-05-12,142.75
CUST0258,2024-09-03,69.12
CUST0198,2024-07-22,68.58
CUST0549,2024-01-12,100.72
CUST0222,2024-04-27,145.48
CUST0604,2024-04-06,302.43
CUST0103,2024-09-22,155.16
CUST0370,2024-09-30,158.11
CUST0726,2024-04-01,72.03
CUST0047,2024-12-03,281.15
CUST0715,2024-10-27,322.56
CUST0771,2024-04-23,60.27
CUST0013,2024-03-12,149.33
CUST0491,2024-05-19,176.95
CUST0989,2024-12-04,133.71
CUST0883,2024-04-30,65.9
CUST0067,2024-06-08,250.96
CUST0591,2024-02-12,346.36
CUST0156,2024-10-15,407.46
CUST0972,2024-07-28,51.74
CUST0255,2024-10-31,283.46
CUST0427,2024-02-24,302.1
CUST0634,2024-09-06,390.09
CUST0390,2024-05-14,455.17
CUST0305,2024-03-04,495.12
CUST0313,2024-03-14,314.3
CUST0625,2024-11-10,474.32
CUST0213,2024-02-14,113.4
CUST0677,2024-11-19,86.96
CUST0178,2024-03-23,46.78
CUST0003,2024-06-04,230.75
CUST0609,2024-05-04,152.72
CUST0238,2024-08-05,356.41
CUST0720,2024-05-12,44.88
CUST0240,2024-08-17,396.04
CUST0641,2024-03-04,333.98
CUST0957,2024-09-20,218.32
CUST0558,2024-09-06,327.34
CUST0931,2024-08-16,415.05
CUST0074,2024-11-30,91.3
CUST0315,2024-03-01,376.99
CUST0583,2024-08-05,225.19
CUST0480,2024-01-13,159.0
CUST0413,2024-08-13,255.23
CUST0506,2024-05-20,49.42
CUST0041,2024-05-23,369.92
CUST0619,2024-08-24,22.67
CUST0235,2024-01-20,419.62
CUST0590,2024-03-05,475.89
CUST0784,2024-01-21,412.5
CUST0591,2024-12-10,383.92
CUST0180,2024-05-04,264.29
CUST0453,2024-08-10,98.93
CUST0600,2024-05-21,321.04
CUST0504,2024-11-14,240.31
CUST0419,2024-07-13,167.32
CUST0108,2024-10-09,171.6
CUST0711,2024-04-21,151.23
CUST0968,2024-06-08,408.65
CUST0564,2024-12-12,232.86
CUST0323,2024-08-23,168.4
CUST0994,2024-06-07,433.81
CUST0845,2024-12-30,332.25
CUST0556,2024-05-08,212.49
CUST0193,2024-04-09,187.27
CUST0775,2024-04-19,316.45
CUST0779,2024-12-04,109.74
CUST0563,2024-10-24,464.56
CUST0449,2024-01-08,247.51
CUST0030,2024-02-12,308.35
CUST0246,2024-01-02,87.61
CUST0565,2024-12-23,280.6
CUST0096,2024-09-06,496.21
CUST0935,2024-11-02,236.11
CUST0121,2024-02-03,417.75
CUST0511,2024-08-03,259.35
CUST0280,2024-06-01,419.01
CUST0484,2024-08-28,233.83
CUST0149,2024-06-17,103.4
CUST0614,2024-04-14,375.68
CUST0140,2024-11-25,145.36
CUST0809,2024-06-01,176.54
CUST0807,2024-04-15,140.91
CUST0003,2024-08-08,365.76
CUST0858,2024-03-05,294.16
CUST0676,2024-04-24,433.98
CUST0458,2024-03-30,247.33
CUST0341,2024-03-23,383.81
CUST0387,2024-05-11,467.1
CUST0891,2024-09-25,490.58
CUST0245,2024-03-13,197.66
CUST0877,2024-06-03,31.39
CUST0763,2024-05-02,355.56
CUST0831,2024-06-18,199.18
CUST0680,2024-02-01,490.6
CUST0508,2024-12-12,71.86
CUST0989,2024-03-03,172.68
CUST0103,2024-05-19,58.86
CUST0933,2024-05-11,17.52
CUST0148,2024-06-04,436.76
CUST0994,2024-10-12,46.67
CUST0801,2024-08-17,175.9
CUST0710,2024-06-10,328.42
CUST0873,2024-07-15,427.65
CUST0880,2024-04-01,196.2
CUST0325,2024-02-14,362.17
CUST0778,2024-04-25,437.47
CUST0037,2024-02-18,43.53
CUST0647,2024-01-15,461.26
CUST0233,2024-11-14,222.65
CUST0101,2024-02-10,354.91
CUST0103,2024-05-17,91.52
CUST0307,2024-12-16,32.54
CUST0816,2024-12-02,153.75
CUST0384,2024-05-24,81.33
CUST0544,2024-06-03,287.3
CUST0812,2024-09-29,93.29
CUST0081,2024-02-22,436.71
CUST0635,2024-01-16,128.01
CUST0935,2024-03-07,80.13
CUST0473,2024-02-08,134.45
CUST0262,2024-01-24,14.6
CUST0824,2024-05-06,451.59
CUST0694,2024-03-26,87.41
CUST0453,2024-07-07,493.95
CUST0307,2024-02-07,481.39
CUST0707,2024-08-24,233.85
CUST0310,2024-09-20,499.69
CUST0874,2024-04-27,62.26
CUST0391,2024-03-13,185.89
CUST0303,2024-01-07,154.66
CUST0850,2024-01-28,203.94
CUST0009,2024-03-16,433.88
CUST0797,2024-12-05,456.2
CUST0764,2024-04-20,418.09
CUST0925,2024-08-06,390.11
CUST0236,2024-02-24,402.95
CUST0225,2024-02-09,103.16
CUST0257,2024-01-18,380.23
CUST0786,2024-01-28,343.62
CUST0141,2024-02-13,57.61
CUST0643,2024-02-04,29.32
CUST0808,2024-05-19,26.35
CUST0374,2024-10-24,54.17
CUST0303,2024-07-16,376.27
CUST0180,2024-09-19,74.76
CUST0553,2024-06-26,270.12
CUST0936,2024-08-13,416.93
CUST0264,2024-04-28,484.02
CUST0303,2024-07-10,404.07
CUST0480,2024-11-22,78.97
CUST0990,2024-09-06,431.47
CUST0742,2024-01-20,490.17
CUST0991,2024-03-20,189.23
CUST0810,2024-06-11,16.82
CUST0550,2024-10-28,232.85
CUST0689,2024-01-21,138.46
CUST0391,2024-02-08,470.74
CUST0111,2024-01-20,124.57
CUST0026,2024-02-17,443.28
CUST0575,2024-07-16,458.48
CUST0227,2024-02-03,40.98
CUST0844,2024-05-07,455.6
CUST0310,2024-02-02,210.06
CUST0144,2024-12-07,473.67
CUST0312,2024-04-22,66.9
CUST0241,2024-03-30,76.48
CUST0465,2024-06-24,338.54
CUST0761,2024-01-09,473.53
CUST0430,2024-03-05,373.71
CUST0159,2024-06-01,330.91
CUST0854,2024-04-24,311.67
CUST0962,2024-08-09,26.03
CUST0380,2024-09-10,227.26
CUST0974,2024-09-01,429.17
CUST0102,2024-01-14,189.99
CUST0924,2024-02-04,185.75
CUST0408,2024-08-11,103.01
CUST0126,2024-05-12,54.92
CUST0218,2024-02-06,323.35
CUST0995,2024-12-20,34.78
CUST0342,2024-08-28,494.52
CUST0806,2024-03-16,110.55
CUST0850,2024-03-22,111.51
CUST0222,2024-09-02,170.99
CUST0152,2024-02-29,11.39
CUST0880,2024-10-17,493.89
CUST0554,2024-08-24,401.27
CUST0113,2024-01-27,434.56
CUST0135,2024-12-23,185.54
CUST0808,2024-08-31,298.54
CUST0017,2024-10-02,140.03
CUST0130,2024-05-29,267.78
CUST0764,2024-11-28,243.36
CUST0797,2024-06-28,261.49
CUST0112,2024-05-13,256.88
CUST0969,2024-02-20,31.25
CUST0803,2024-01-28,265.51
CUST0470,2024-02-05,482.37
CUST0063,2024-04-29,425.18
CUST0437,2024-01-14,62.9
CUST0730,2024-05-17,46.01
CUST0083,2024-07-19,308.07
CUST0068,2024-10-27,144.76
CUST0649,2024-03-06,278.69
CUST0333,2024-06-18,497.37
CUST0544,2024-08-02,232.32
CUST0620,2024-05-24,58.6
CUST0719,2024-11-02,427.87
CUST0667,2024-03-23,363.21
CUST0221,2024-05-24,231.26
CUST0234,2024-06-02,176.08
CUST0465,2024-06-09,213.83
CUST0098,2024-07-23,219.11
CUST0682,2024-08-22,193.41
CUST0157,2024-01-14,462.26
CUST0069,2024-11-14,417.57
CUST0096,2024-05-23,57.32
CUST0757,2024-06-23,407.77
CUST0570,2024-11-30,297.37
CUST0576,2024-03-18,171.53
CUST0126,2024-06-03,183.26
CUST0682,2024-05-28,435.37
CUST0739,2024-12-04,484.52
CUST0615,2024-07-24,182.31
CUST0592,2024-04-15,114.24
CUST0673,2024-04-28,119.88
CUST0111,2024-07-04,424.23
CUST0377,2024-11-02,383.68
CUST0588,2024-09-06,405.54
CUST0866,2024-03-18,487.53
CUST0839,2024-02-16,310.65
CUST0659,2024-03-20,22.86
CUST0952,2024-01-29,416.44
CUST0274,2024-12-16,98.4
CUST0720,2024-07-25,461.55
CUST0360,2024-12-27,98.89
CUST0147,2024-03-16,332.1
CUST0072,2024-10-19,373.07
CUST0996,2024-12-15,54.96
CUST0544,2024-09-11,194.34
CUST0465,2024-07-09,87.13
CUST0320,2024-07-17,390.65
CUST0582,2024-02-29,51.63
CUST0054,2024-10-12,87.13
CUST0633,2024-12-05,340.24
CUST0279,2024-05-18,334.35
CUST0498,2024-02-24,226.6
CUST0280,2024-09-11,379.92
CUST0117,2024-07-07,220.66
CUST0291,2024-01-18,342.46
CUST0499,2024-04-05,336.89
CUST0047,2024-09-09,203.68
CUST0614,2024-12-02,13.77
CUST0309,2024-09-13,386.0
CUST0783,2024-08-22,151.83
CUST0123,2024-12-27,253.72
CUST0441,2024-10-02,73.3
CUST0546,2024-01-05,122.75
CUST0573,2024-01-23,405.04
CUST0074,2024-06-10,432.26
CUST0044,2024-05-21,19.18
CUST0944,2024-11-21,432.43
CUST0590,2024-05-25,290.97
CUST0727,2024-02-07,214.67
CUST0118,2024-06-06,20.22
CUST0333,2024-10-04,402.65
CUST0633,2024-05-09,417.69
CUST0942,2024-06-28,53.18
CUST0865,2024-11-06,129.23
CUST0604,2024-06-08,266.74
CUST0406,2024-07-25,375.44
CUST0227,2024-07-13,391.77
CUST0079,2024-04-13,320.28
CUST0544,2024-04-13,105.01
CUST0795,2024-07-05,182.04
CUST0982,2024-02-04,409.37
CUST0242,2024-11-08,81.76
CUST0203,2024-10-03,305.18
CUST0779,2024-01-30,46.92
CUST0975,2024-02-13,252.12
CUST0773,2024-03-17,382.34
CUST0460,2024-01-17,462.84
CUST0579,2024-02-05,321.3
CUST0640,2024-07-18,433.48
CUST0643,2024-07-22,83.97
CUST0070,2024-05-04,226.68
CUST0311,2024-08-12,299.8
CUST0361,2024-04-15,46.35
CUST0473,2024-05-13,28.43
CUST0378,2024-08-06,47.6
CUST0885,2024-11-14,311.35
CUST0520,2024-06-17,236.73
CUST0568,2024-12-09,230.37
CUST0830,2024-03-13,329.4
CUST0330,2024-02-25,243.06
CUST0155,2024-11-29,230.76
CUST0831,2024-07-08,491.37
CUST0087,2024-04-16,326.6
CUST0041,2024-08-26,356.73
CUST0450,2024-04-06,266.15
CUST0163,2024-06-27,192.7
CUST0290,2024-06-15,210.3
CUST0347,2024-01-18,302.96
CUST0809,2024-02-11,327.18
CUST0068,2024-07-15,56.31
CUST0695,2024-06-16,149.23
CUST0742,2024-01-29,482.56
CUST0618,2024-10-15,173.35
CUST0597,2024-01-26,79.3
CUST0359,2024-07-25,484.17
CUST0716,2024-01-26,202.06
CUST0610,2024-01-03,469.62
CUST0318,2024-03-19,194.57
CUST0811,2024-07-15,408.46
CUST0687,2024-01-06,416.19
CUST0757,2024-01-15,457.1
CUST0096,2024-02-04,338.52
CUST0521,2024-06-28,18.93
CUST0317,2024-09-29,476.07
CUST0350,2024-04-26,104.08
CUST0141,2024-10-12,47.81
CUST0865,2024-11-09,258.77
CUST0553,2024-04-05,28.5
CUST0345,2024-02-18,74.21
CUST0386,2024-10-13,89.5
CUST0852,2024-01-11,387.84
CUST0829,2024-10-07,363.38
CUST0045,2024-06-03,188.51
CUST0737,2024-08-31,485.1
CUST0626,2024-08-07,378.67
CUST0803,2024-05-15,124.66
CUST0245,2024-07-25,483.14
CUST0804,2024-05-04,452.95
CUST0199,2024-06-25,342.37
CUST0585,2024-05-19,236.22
CUST0289,2024-06-18,256.42
CUST0429,2024-10-09,410.28
CUST0821,2024-02-25,77.82
CUST0257,2024-12-04,324.18
CUST0896,2024-06-23,281.72
CUST0106,2024-01-01,424.49
CUST0872,2024-10-28,149.68
CUST0782,2024-10-09,143.67
CUST0928,2024-04-12,82.2
CUST0448,2024-11-14,473.74
CUST0228,2024-05-14,443.47
CUST0953,2024-12-17,213.3
CUST0406,2024-04-17,193.24
CUST0396,2024-11-19,193.71
CUST0029,2024-07-20,466.1
CUST0860,2024-02-02,174.29
CUST0150,2024-10-21,28.77
CUST0940,2024-05-03,351.08
CUST0143,2024-01-04,239.86
CUST0631,2024-12-28,453.87
CUST0020,2024-08-21,115.67
CUST0154,2024-03-25,470.71
CUST0624,2024-04-04,217.39
CUST0795,2024-08-05,126.44
CUST0125,2024-12-06,126.84
CUST0655,2024-02-16,233.99
CUST0114,2024-04-19,302.4
CUST0017,2024-02-11,262.53
CUST0248,2024-10-18,152.72
CUST0002,2024-02-20,182.88
CUST0585,2024-05-31,101.78
CUST0685,2024-11-17,266.51
CUST0370,2024-11-26,477.17
CUST0558,2024-04-15,395.34
CUST0520,2024-03-22,19.96
CUST0895,2024-05-04,31.33
CUST0397,2024-06-22,134.29
CUST0017,2024-07-01,396.37
CUST0354,2024-08-29,369.14
CUST0644,2024-11-07,388.04
CUST0753,2024-07-13,75.37
CUST0361,2024-03-26,175.89
CUST0659,2024-10-02,416.89
CUST0702,2024-05-07,490.6
CUST0491,2024-02-11,99.32
CUST0139,2024-11-28,360.86
CUST0967,2024-05-10,28.12
CUST0207,2024-12-08,397.64
CUST0908,2024-12-09,164.64
CUST0318,2024-04-11,205.13
CUST0835,2024-03-27,241.97
CUST0038,2024-02-03,103.64
CUST0366,2024-12-06,434.24
CUST0340,2024-08-13,70.99
CUST0377,2024-05-21,445.85
CUST0762,2024-05-19,448.37
CUST0396,2024-07-10,487.12
CUST0509,2024-01-11,253.79
CUST0947,2024-04-09,140.69
CUST0085,2024-05-27,48.67
CUST0617,2024-09-29,277.28
CUST0329,2024-11-08,49.23
CUST0677,2024-08-01,160.18
CUST0618,2024-05-26,91.66
CUST0455,2024-07-04,229.09
CUST0745,2024-07-03,311.28
CUST0446,2024-08-12,323.34
CUST0811,2024-12-01,46.77
CUST0653,2024-06-06,188.02
CUST0821,2024-01-18,88.39
CUST0032,2024-10-18,425.85
CUST0695,2024-05-20,27.05
CUST0069,2024-09-01,391.47
CUST0376,2024-06-28,197.6
CUST0581,2024-12-14,306.5
CUST0696,2024-05-14,474.92
CUST0381,2024-05-17,383.91
CUST0588,2024-10-21,269.44
CUST0408,2024-07-23,328.28
CUST0256,2024-11-02,22.7
CUST0191,2024-04-19,263.7
CUST0936,2024-03-18,67.7
CUST0794,2024-08-19,354.98
CUST0220,2024-02-21,149.93
CUST0939,2024-04-23,108.09
CUST0139,2024-11-23,231.5
CUST0921,2024-05-17,498.66
CUST0830,2024-01-16,484.11
CUST0328,2024-01-24,180.24
CUST0067,2024-03-24,275.66
CUST0913,2024-07-30,427.17
CUST0729,2024-01-02,464.39
CUST0654,2024-10-02,398.91
CUST0521,2024-09-07,69.47
CUST0206,2024-10-20,126.0
CUST0506,2024-12-17,186.84
CUST0587,2024-06-25,239.03
CUST0565,2024-10-25,309.85
CUST0089,2024-11-27,161.55
CUST0735,2024-04-29,267.59
CUST0788,2024-06-04,413.44
CUST0076,2024-10-27,486.47
CUST0658,2024-11-23,230.49
CUST0697,2024-04-10,178.81
CUST0900,2024-03-23,323.5
CUST0187,2024-10-25,221.98
CUST0933,2024-12-02,417.38
CUST0531,2024-10-13,159.02
CUST0166,2024-07-18,468.02
CUST0231,2024-07-06,474.27
CUST0532,2024-08-07,424.51
CUST0257,2024-09-21,321.18
CUST0565,2024-08-12,71.33
CUST0311,2024-02-20,271.4
CUST0515,2024-02-06,92.63
CUST0965,2024-03-08,85.56
CUST0675,2024-02-15,363.11
CUST0620,2024-07-11,422.84
CUST0578,2024-12-09,414.37
CUST0030,2024-11-19,32.28
CUST0657,2024-03-10,139.68
CUST0216,2024-03-13,214.13
CUST0655,2024-12-15,254.04
CUST0643,2024-03-26,151.94
CUST0980,2024-07-29,246.64
CUST0825,2024-01-15,208.99
CUST0465,2024-11-23,347.42
CUST0162,2024-05-19,213.65
CUST0476,2024-09-17,176.69
CUST0148,2024-07-23,432.13
CUST0327,2024-07-07,487.93
CUST0134,2024-06-24,262.34
CUST0109,2024-07-20,128.45
CUST0126,2024-08-16,230.3
CUST0145,2024-11-11,34.8
CUST0969,2024-06-17,433.44
CUST0429,2024-08-25,481.72
CUST0924,2024-10-10,408.6
CUST0957,2024-03-10,363.35
CUST0195,2024-10-10,254.15
CUST0528,2024-05-05,254.39
CUST0316,2024-04-20,21.36
CUST0968,2024-06-12,257.67
CUST0990,2024-08-29,115.42
CUST0362,2024-12-06,34.76
CUST0507,2024-02-29,442.35
CUST0670,2024-01-21,240.59
CUST0550,2024-12-26,425.11
CUST0442,2024-10-23,442.4
CUST0745,2024-06-26,384.29
CUST0375,2024-12-07,206.28
CUST0584,2024-03-18,105.38
CUST0567,2024-08-05,46.03
CUST0517,2024-05-14,384.56
CUST0287,2024-02-15,343.4
CUST0122,2024-10-26,487.79
CUST0404,2024-06-22,399.5
CUST0348,2024-03-20,470.08
CUST0774,2024-10-18,107.54
CUST0522,2024-06-08,255.04
CUST0047,2024-12-11,77.15
CUST0342,2024-05-02,264.47
CUST0153,2024-02-24,447.63
CUST0144,2024-07-16,466.37
CUST0327,2024-10-08,202.55
CUST0632,2024-07-30,300.93
CUST0520,2024-04-14,270.85
CUST0726,2024-03-17,156.9
CUST0836,2024-12-22,190.5
CUST0690,2024-11-04,490.15
CUST0598,2024-07-26,400.41
CUST0743,2024-01-13,318.34
CUST0612,2024-05-02,140.11
CUST0672,2024-03-09,293.04
CUST0739,2024-12-04,295.93
CUST0175,2024-04-06,318.22
CUST0635,2024-06-19,82.41
CUST0698,2024-08-28,25.47
CUST0971,2024-01-07,63.85
CUST0020,2024-05-19,163.71
CUST0156,2024-06-02,348.35
CUST0421,2024-04-18,389.74
CUST0943,2024-05-03,437.68
CUST0754,2024-11-29,355.83
CUST0532,2024-09-15,284.83
CUST0679,2024-04-30,267.48
CUST0322,2024-10-03,235.24
CUST0546,2024-07-08,277.67
CUST0693,2024-01-17,325.22
CUST0710,2024-08-17,308.94
CUST0197,2024-08-26,146.71
CUST0306,2024-09-06,471.33
CUST0305,2024-08-05,355.4
CUST0707,2024-01-05,249.61
CUST0492,2024-07-05,284.64
CUST0957,2024-08-12,151.02
CUST0588,2024-01-19,276.16
CUST0918,2024-06-11,411.0
CUST0978,2024-10-17,152.32
CUST0295,2024-11-20,179.72
CUST0453,2024-01-30,135.66
CUST0491,2024-09-12,109.01
CUST0552,2024-08-14,467.18
CUST0713,2024-08-13,77.26
CUST0631,2024-03-05,127.25
CUST0052,2024-01-23,453.54
CUST0232,2024-02-08,124.09
CUST0103,2024-06-02,171.84
CUST0484,2024-11-09,343.78
CUST0141,2024-12-28,482.61
CUST0952,2024-10-11,209.38
